FormNumber,Question
1,Additional Comments
1,Audio used in this course was effective in learning the course material
1,Course Objectives were clearly indicated in the syllabus or somewhere online
1,Grading practices for this course were clear
1,Grading practices for this course were consistently followed
1,I connected to this course MOST frequently from
1,I had the prerequisite skills to be successful in this course
1,I have taken an online course before
1,I was able to download the course material when required
1,"If asked by a peer, I would recommend taking this course online"
1,Images used in this course made learning the course material easier
1,My current classification is:
1,The amount of material covered was appropriate
1,The assignments for this course were relevant to the lectures or material presented
1,The course material was delivered by: Choose all that apply
1,The instructor or the TA answered questions in a timely manner
1,The instructor or the TA encouraged critical thinking
1,The instructor or the TA encouraged student participation
1,The instructor or the TA presented this course material in a clear and organized manner
1,The instructor or the TA provided timely feedback about my progress during the semester
1,The instructor or the TA was accessible
1,The online course delivery method was condusive to learning the material
1,The online course was easy to navigate
1,The overall quality of this course is
1,The overall teaching effectiveness of this instructor is
1,The quizzes and tests given for this course covered the lectures and material presented
1,This course lived up to my expectations
1,This course material was well suited for online delivery
1,This course was taught by:
1,This instructor's availability for individual assistance is
1,This instructor's demonstration of respect for students is
1,Video used in this course was effective in learning the course material
1,"When I was connecting from off campus, the typical connection was"
1,"When I was connecting on campus, I was typically connected at the"
2, Additional Comments
2, Audio used in this course was effective in learning the course material
2, Comments
2, I connected to this course MOST frequently from
2, I have taken an online course before
2, I was able to download the course material when required
2, I will recommend this instructor to other students for the same course
2," If asked by a peer, I would recommend taking this course online"
2, Images used in this course made learning the course material easier
2, My current classification is:
2, The course material was delivered by: Choose all that apply
2, The grading system seemed fair
2, The instructor generally was available to consult with and assist students
2, The instructor presented the subject matter for this course clearly by using effective teaching techniques 
2, The instructor set forth course requirements clearly and relatively early in the semester
2, The instructor stimulated my mental curiosity
2, The instructor was an effective teacher compared to other instructors
2, The instructor was enthusiastic in encouraging students to focus on the subject material 
2, The instructor was receptive to questions and alternate points of view of the subject material 
2, The online course delivery method was condusive to learning the material
2, The online course was easy to navigate
2, The overall quality of this course is
