Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
0,1,Additional Comments,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
34,2, Additional Comments,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
634,35,Additional Comments for instructor,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
635,35,Additional Comments Regarding Clinical Experience,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
636,35,Additional Comments Regarding the Course,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
745,46,Please provide any other comments you would like regarding this course:,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1158,709,Please list any additional comments you have regarding this clerkship/course that have not been addressed above. ,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1218,712,Please list any additional comments you have regarding LIC (as a whole) that have not been addressed above.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1238,713,Please list any additional comments you have regarding this clerkship.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1322,718,Please list any additional comments you have regarding this course that have not been addressed above.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1427,722,Please list any additional comments you have regarding this course.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
20,1,The instructor or the TA was accessible,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
32,1,"When I was connecting from off campus, the typical connection was",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
33,1,"When I was connecting on campus, I was typically connected at the",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
49,2, The instructor stimulated my mental curiosity,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
51,2, The instructor was enthusiastic in encouraging students to focus on the subject material ,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
63,2," When I was connecting from off campus, the typical connection was",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
